District,Household,Persons,Area(KM)persq,Population,SCs_RW,STs_RW,Others_RW,Women_RW,SCs_AW,STs_AW,Others_AW,Women_AW,Literacy
AJMER,223008,239624,8481,2995824,142948,28732,772719,492355,94468,20169,463693,368483,76.56
ALWAR,41576,46599,8380,4261313,150354,77305,360476,293668,81642,48234,173816,190409,75.51
BANSWARA,250223,362796,5037,2084723,38113,819949,153961,506522,28630,657282,110701,410035,74.13
BARAN,66860,88652,6992,1418151,122252,169871,347235,306565,64905,97520,170019,172353,71.91
BARMER,104276,152737,28387,3019830,211914,85765,1028509,659654,163833,63427,807136,540453,70.72
BHARATPUR,34655,40362,5066,2955706,182224,18503,598567,368259,77058,6944,223461,173831,70.11
BHILWARA,286299,318713,10455,2793405,183066,115354,750214,542138,128624,82188,520416,441912,69.64
BIKANER,74108,101541,30247,2741694,270723,5730,509660,376935,192420,4152,328436,261373,69.33
BUNDI,62900,71354,5550,1288429,111899,138285,321713,274515,55231,73837,150857,154652,69.08
CHITTORGARH,76781,90892,7822,1791123,118454,109605,398663,321028,57424,57019,175614,173045,68.16
CHURU,70464,83353,13858,2365467,197651,6788,528063,350474,128267,3990,300013,230438,67.13
DAUSA,23921,27029,3432,1895588,81507,118407,197443,227672,39452,58625,89869,138154,66.75
DHOLPUR,39972,52002,3033,1399317,129642,31347,258043,169971,75048,21064,124258,101283,66.66
DUNGARPUR,241547,296286,3770,1610443,24492,592076,211239,423412,17948,453240,155278,341883,66.22
HANUMANGARH,44352,47283,9656,2058288,206381,1810,396434,281863,118975,945,180383,165734,65.94
JAIPUR,64960,69570,11143,7685041,173328,114222,538486,451449,81386,46435,222697,265510,65.39
JAISALMER,63467,84668,38401,776972,45108,18095,241744,153059,36571,14153,186806,128296,65.13
JALORE,62362,68586,10640,2120961,156672,79283,449171,359511,94310,46474,236578,240845,63.14
JHALAWAR,138518,181253,6928,1636627,167427,107444,471387,359007,120109,84996,343393,276296,62.8
JHUNJHUNU,14338,15346,5928,2478545,113471,10442,239911,160498,51034,3878,76210,71274,62.39
JODHPUR,126169,144501,22850,4276374,209525,40048,989856,619392,119048,23538,540809,413964,61.82
KARAULI,39517,52191,5043,1691276,115812,125722,253562,239789,66566,76326,142210,154028,61.71
KOTA,66751,75743,5217,2262786,83300,56161,176022,158426,54671,34915,104113,112521,61.58
NAGAUR,203613,227777,17718,3836320,368752,3337,1034842,691511,226370,1795,581698,472068,61.52
PALI,87909,92676,12387,2363177,198448,73550,634820,471608,94631,39980,280173,277025,61.5
PRATAPGARH,126074,176841,4117,1006530,25913,315698,111436,227745,18969,239993,73947,175213,61.37
RAJSAMAND,97227,103164,4550,1341421,90119,85424,361688,283484,51083,46058,187108,191170,59.46
SAWAI MADHOPUR,34519,45352,10527,1548972,118193,139000,317148,272149,66225,82386,160898,165899,57.22
SIKAR,29595,32098,7742,3105171,146821,21551,404954,274055,62489,8310,106500,114233,56.53
SIROHI,74000,81863,5136,1201954,94394,137809,187168,224288,55990,75403,97996,146570,56.33
SRI GANGANAGAR,110699,124110,11154,2283841,291215,1692,308002,291872,203363,1122,183631,213707,55.97
TONK,52928,71419,7194,1648454,138991,102913,441383,334043,71440,57336,221394,197648,55.25
UDAIPUR,173592,199951,11724,3558754,53510,846779,389062,651315,23589,470954,164016,372078,54.86
